account_id,phone,device_id,ip_address,email,account_created_at,account_status,is_fraud_ring
ACC0029,714.273.7996,DEVN00283,172.21.209.161,zlewis@example.com,2025-02-24T17:41:33.234576,closed,no
ACC0030,+1-948-908-3136x783,DEVN00291,172.18.250.75,jeffrey34@example.net,2025-08-12T14:08:01.800902,active,no
ACC0031,388.556.8557x4443,DEVFAM009,172.21.236.191,javierwashington@example.net,2025-08-18T05:03:36.072509,active,no
ACC0032,001-689-241-3435x24082,DEVN00310,10.64.167.180,agarcia@example.net,2025-01-16T12:54:02.505255,active,no
ACC0033,275.420.4711x6719,DEVN00325,10.155.144.84,mcknightdavid@example.com,2025-08-29T22:08:11.547174,active,no
ACC0034,+1-238-367-7496x499,DEVN00331,10.135.127.178,mooreglenn@example.org,2024-10-19T01:44:52.582001,active,no
ACC0035,(579)874-0344x71349,DEVN00348,10.13.150.31,margaret10@example.org,2026-01-07T08:09:35.685736,frozen,no
ACC0036,+1-994-371-7464x887,DEVN00353,192.168.221.50,cassandra01@example.org,2026-05-05T20:06:23.460623,active,no
ACC0037,001-990-649-0278,DEVN00364,10.223.44.81,ecosta@example.com,2025-04-13T08:14:52.690647,active,no
ACC0038,712-356-7468x07154,DEVN00377,172.16.9.109,mgutierrez@example.net,2025-03-11T17:53:35.641493,active,no
ACC0039,001-577-403-4824x77109,DEVN00383,172.29.14.66,walkermaureen@example.org,2025-05-20T12:19:28.639933,active,no
ACC0040,527-948-4677,DEVN00398,192.168.97.151,michellehill@example.com,2025-02-24T09:54:14.703552,active,no
ACC0041,840.944.9972x78755,DEVN00402,172.23.164.75,xhall@example.com,2024-08-01T01:16:28.649405,closed,no
ACC0042,001-376-962-7028x9517,DEVN00419,10.209.232.183,charlesharrington@example.com,2025-02-23T11:49:43.435431,active,no
ACC0043,001-561-658-6578x091,DEVFAM011,10.222.49.130,hodgesjane@example.org,2025-05-08T01:47:58.804500,closed,no
ACC0044,001-840-405-0455x623,DEVN00439,10.195.220.216,tyleraguilar@example.org,2025-05-20T07:19:06.759710,active,no
ACC0045,674-807-4821x759,DEVFAM004,192.168.154.175,yvonnecastaneda@example.org,2024-12-14T13:03:20.852580,active,no
ACC0046,001-259-944-0640,DEVFAM008,172.23.93.33,jeffery39@example.com,2025-10-18T22:26:34.457541,active,no
ACC0047,001-821-404-7095x2145,DEVN00467,10.187.81.173,maria47@example.com,2025-12-06T02:11:49.531367,active,no
ACC0048,317-912-3685x16048,DEVFAM013,172.24.99.160,xcarson@example.org,2025-10-16T21:15:14.869099,active,no
ACC0049,209.285.9317x4612,DEVN00483,172.19.183.66,youngamanda@example.com,2025-05-15T01:12:54.416640,frozen,no
ACC0050,+1-986-992-6179x64053,DEVN00497,10.50.222.155,amy50@example.com,2025-01-10T14:48:29.543309,active,no
ACC0051,471-539-0053,DEVN00506,10.106.16.135,lisahall@example.org,2026-01-04T13:12:54.258710,active,no
ACC0052,+1-704-522-8421x020,DEVN00513,192.168.89.54,brian68@example.org,2025-12-05T11:10:35.834056,active,no
ACC0053,975.289.1783x9084,DEVN00521,10.205.160.198,fparks@example.net,2026-03-30T06:58:26.144889,active,no
ACC0054,715-892-1249,DEVN00531,192.168.232.77,sgarcia@example.org,2026-02-18T10:55:04.751636,active,no
ACC0055,+1-883-767-3657x6615,DEVN00546,192.168.214.203,fjones@example.org,2025-04-29T19:31:31.842009,active,no
ACC0056,001-252-680-9885x1656,DEVN00555,192.168.53.11,ericolson@example.org,2025-03-03T13:54:54.370498,frozen,no
ACC0057,+1-251-649-3689,DEVN00566,10.158.51.61,michael22@example.net,2025-10-04T15:23:23.514929,closed,no
ACC0058,720-418-3667,DEVN00576,192.168.15.65,wareeric@example.net,2024-08-05T08:00:35.542345,active,no
ACC0059,547-367-9764,DEVN00587,172.25.16.90,trose@example.org,2024-12-02T20:42:34.979193,frozen,no
ACC0060,+1-900-834-3244x510,DEVN00590,10.117.209.18,charles06@example.org,2025-05-19T07:52:17.061548,active,no
ACC0061,859-269-6641,DEVN00601,172.30.185.29,christopher13@example.com,2025-08-17T17:02:15.516560,active,no
ACC0062,716.745.3521x81883,DEVN00610,192.168.75.158,curtisscott@example.org,2025-08-27T04:18:10.629321,active,no
ACC0063,001-312-977-9979x95527,DEVN00626,172.24.202.32,bellcharles@example.com,2025-05-13T20:09:10.476617,active,no
ACC0064,9542119986,DEVN00635,172.22.6.14,cassidy82@example.org,2025-05-12T20:47:17.633233,active,no
ACC0065,618-820-3778x89255,DEVFAM004,172.17.172.250,cameron18@example.net,2025-03-29T02:16:43.101692,active,no
ACC0066,392-651-9254x629,DEVN00651,192.168.168.46,elizabethcalderon@example.net,2026-05-30T12:21:25.552176,active,no
ACC0067,416.485.0542x35733,DEVFAM000,10.51.200.184,stanleynancy@example.net,2024-10-01T05:37:26.025657,frozen,no
ACC0068,(622)929-2706x5379,DEVN00673,10.158.114.147,mmckee@example.com,2025-10-19T07:33:16.779937,closed,no
ACC0069,001-577-446-8862,DEVN00683,172.31.96.255,angela18@example.org,2025-01-17T01:03:31.090308,closed,no
ACC0070,001-824-778-2613x75060,DEVN00693,10.41.200.48,jeffrey51@example.net,2025-09-29T11:20:22.186112,frozen,no
ACC0071,(220)347-2779,DEVN00708,10.76.141.213,srodriguez@example.org,2025-01-28T07:20:24.248574,frozen,no
ACC0072,2365971179,DEVN00717,192.168.219.197,mendezjohn@example.com,2024-11-09T14:52:25.385566,active,no
ACC0073,+1-818-751-8888x80670,DEVN00722,172.27.109.80,cooperjessica@example.net,2024-09-12T01:33:10.706381,active,no
ACC0074,001-952-405-8527,DEVN00736,10.234.84.250,carterbradley@example.org,2026-03-13T13:16:42.522183,active,no
ACC0075,348-768-7403x45054,DEVN00742,172.30.18.82,lmorgan@example.com,2025-10-28T22:45:02.342491,active,no
ACC0076,(384)316-1692x845,DEVN00754,10.13.150.31,bmorrison@example.org,2025-10-27T08:02:55.614783,active,no
ACC0077,(470)259-6401x658,DEVFAM006,10.224.88.48,martinezjoel@example.net,2025-03-14T22:19:06.053520,active,no
ACC0078,(790)892-7557x1928,DEVN00777,172.23.252.209,johnsonjacob@example.net,2025-03-29T09:23:16.744775,active,no
ACC0079,+1-514-347-3947,DEVN00783,10.231.114.35,rachelwallace@example.org,2026-01-19T20:37:19.446270,active,no
ACC0080,451-588-4422x58313,DEVN00791,192.168.140.208,jlara@example.org,2025-09-02T20:43:56.971289,active,no
ACC0081,314-467-8669,DEVN00807,172.30.102.48,wfrazier@example.org,2026-03-08T01:43:49.971817,closed,no
ACC0082,001-789-522-6801x82422,DEVN00818,172.25.22.236,kingcynthia@example.net,2025-01-09T14:46:38.488753,closed,no
ACC0083,+1-749-281-8299x2299,DEVN00821,10.135.128.250,katiebutler@example.net,2024-07-22T16:48:11.146205,active,no
ACC0084,+1-884-947-3647x1027,DEVN00830,172.20.152.239,michelle55@example.com,2024-10-01T00:52:16.845888,closed,no
ACC0085,(388)215-3714x732,DEVN00848,172.29.97.92,sydneybarrera@example.com,2026-04-16T03:01:32.851884,active,no
ACC0086,001-953-527-8774x7016,DEVN00850,10.24.233.184,campbellcarla@example.net,2025-10-15T06:20:46.115734,active,no
ACC0087,580-716-2456x5060,DEVN00861,192.168.197.207,rduran@example.net,2025-10-20T18:41:49.754389,active,no
ACC0088,521-865-5852,DEVN00873,192.168.19.236,jenniferbrock@example.net,2025-05-17T09:24:28.065428,frozen,no
ACC0089,+1-982-659-5269x495,DEVN00882,172.27.201.150,emily69@example.com,2026-01-10T05:28:51.146495,frozen,no
ACC0090,001-809-474-9930x9728,DEVN00896,192.168.56.68,andrewedwards@example.org,2025-04-16T13:43:47.440034,active,no
ACC0091,768.997.0283,DEVN00907,192.168.88.171,vbarr@example.net,2025-03-06T12:01:17.073238,active,no
ACC0092,001-749-973-3484x34437,DEVN00917,172.24.192.42,david86@example.com,2026-01-25T08:44:28.788696,frozen,no
ACC0093,001-624-404-1574x73384,DEVN00923,10.122.131.45,brentstein@example.org,2025-09-21T01:28:07.799754,frozen,no
ACC0094,4168571208,DEVN00936,192.168.243.142,wsantos@example.com,2025-02-11T07:37:02.624167,closed,no
ACC0095,+1-401-693-8026x2067,DEVN00940,10.54.240.29,justin88@example.com,2026-03-15T23:34:02.608804,active,no
ACC0096,(687)443-1527,DEVN00952,10.151.13.107,gregorychase@example.com,2026-01-31T09:25:44.632711,active,no
ACC0097,951.661.2275x30463,DEVN00966,10.52.122.63,desiree30@example.net,2024-09-22T06:10:38.795184,closed,no
ACC0098,426-984-1459x3327,DEVN00970,192.168.191.75,emiles@example.net,2026-01-13T21:30:57.102856,active,no
ACC0099,339.218.7851,DEVN00986,192.168.103.129,franklinbond@example.com,2024-09-20T20:49:56.541728,active,no
ACC0100,897.918.7072,DEVN00994,10.142.111.3,jennifer64@example.org,2025-12-05T13:30:55.121668,active,no
ACC0101,001-910-265-1801,DEVN01007,172.20.85.110,ybrooks@example.com,2026-03-02T05:37:14.855592,active,no
ACC0102,(261)282-5128x6823,DEVFAM001,172.29.146.116,pmorrow@example.com,2025-02-28T19:29:00.772052,active,no
ACC0103,231-906-9033x119,DEVN01024,192.168.24.236,joymorales@example.org,2025-07-14T07:57:53.242721,active,no
ACC0104,001-502-884-3959x95342,DEVN01036,10.52.122.63,dpeters@example.com,2026-04-21T14:39:06.066634,active,no
ACC0105,+1-668-456-6246x28733,DEVN01048,172.29.52.167,igrant@example.com,2024-12-18T12:01:23.053098,active,no
ACC0106,651.875.1830,DEVN01057,192.168.20.63,lopezkathleen@example.net,2025-10-14T12:22:07.584798,active,no
ACC0107,973.554.0331,DEVN01062,192.168.104.181,jherman@example.com,2025-12-26T08:37:59.587217,active,no
ACC0108,(578)754-4587x7175,DEVN01073,172.23.20.173,allentran@example.net,2025-08-10T21:36:04.166742,active,no
ACC0109,(942)935-3693x78547,DEVN01084,10.180.80.111,donaldpayne@example.org,2026-04-04T07:54:35.088715,active,no
ACC0110,+1-508-301-0062,DEVN01093,192.168.111.252,nbrooks@example.net,2025-10-11T05:28:46.043386,active,no
ACC0111,+1-677-200-8860x084,DEVFAM013,192.168.220.116,danieldavis@example.org,2024-12-17T04:16:34.978321,active,no
ACC0112,+1-584-654-6156x793,DEVFAM002,192.168.41.70,davisnicholas@example.net,2025-05-30T16:53:08.455977,active,no
ACC0113,+1-902-617-6591x8033,DEVN01120,10.143.141.13,whitemelissa@example.org,2026-05-05T12:40:56.603701,active,no
ACC0114,001-826-714-2939,DEVN01139,172.20.122.121,masonterri@example.org,2024-09-07T21:07:16.419415,active,no
ACC0115,615.999.9650,DEVN01148,192.168.15.65,llopez@example.net,2025-03-24T13:13:17.714701,active,no
ACC0116,001-394-231-1426x26551,DEVN01150,172.24.161.237,andersonjacob@example.com,2025-07-26T09:20:54.748740,active,no
ACC0117,861.801.5819x95604,DEVN01165,10.124.72.191,ginajackson@example.com,2025-01-28T07:00:18.929884,closed,no
ACC0118,921.526.4647x1543,DEVN01170,172.25.191.194,rushmartin@example.net,2025-03-24T10:09:04.547773,frozen,no
ACC0119,775-669-2459x37526,DEVN01180,192.168.251.101,markramirez@example.com,2025-03-14T00:15:39.701664,active,no
ACC0120,001-939-682-8073,DEVN01199,192.168.209.123,ttaylor@example.org,2024-12-25T09:03:08.304632,active,no
ACC0121,(866)217-9796,DEVN01207,172.18.184.44,mackdiane@example.com,2024-10-25T22:29:12.073581,active,no
ACC0122,+1-509-965-6101x438,DEVFAM002,172.20.210.231,whitney71@example.com,2025-04-18T16:23:13.917235,closed,no
ACC0123,912-754-5738,DEVN01228,172.30.122.114,carlos01@example.org,2026-02-15T22:13:26.886677,active,no
ACC0124,+1-812-438-2825x8673,DEVN01238,192.168.44.131,njohnson@example.org,2025-05-12T04:51:36.687904,closed,no
ACC0125,(960)333-4191x82553,DEVN01242,172.31.169.218,candice96@example.net,2024-09-19T11:05:55.795378,active,no
ACC0126,(679)324-9912x513,DEVN01250,10.72.96.37,ibarnes@example.net,2025-03-27T02:19:38.552423,active,no
ACC0127,(478)728-2742,DEVFAM011,172.27.125.63,washingtonjames@example.com,2026-05-07T04:19:43.327816,active,no
ACC0128,676.576.7721x90340,DEVN01278,192.168.142.69,hdunn@example.net,2024-09-19T10:40:18.274190,active,no
ACC0129,001-685-780-7836x13407,DEVFAM006,192.168.142.69,jasonrojas@example.net,2025-03-03T22:35:53.270574,active,no
ACC0130,001-696-429-2330x958,DEVN01291,172.25.93.67,ashley81@example.org,2026-05-06T10:34:10.257225,frozen,no
ACC0131,(804)822-3253x67294,DEVFAM008,172.18.250.161,rrobertson@example.net,2026-04-17T22:26:48.180077,active,no
ACC0132,(577)859-0175x186,DEVN01312,10.165.78.148,matthew92@example.net,2026-02-18T04:41:57.413924,active,no
ACC0133,600-417-0127x70632,DEVN01321,172.27.136.175,christopher20@example.com,2025-09-12T10:09:06.501496,active,no
ACC0134,001-936-211-0371x2938,DEVN01339,10.61.190.119,ebenson@example.org,2024-12-08T18:18:26.543923,active,no
ACC0135,411-355-4262,DEVN01341,192.168.140.208,nbell@example.net,2025-12-07T06:54:59.223923,closed,no
ACC0136,(597)631-1219x65652,DEVN01353,192.168.145.225,abbottdominique@example.com,2024-11-22T07:29:17.033860,active,no
ACC0137,+1-383-264-0376x137,DEVFAM005,172.20.57.52,kvalencia@example.com,2025-03-14T06:55:45.753053,frozen,no
ACC0138,+1-627-810-9104x30068,DEVN01376,10.81.190.221,joshuacollins@example.net,2026-04-07T03:32:15.458575,active,no
ACC0139,(285)569-1463,DEVN01381,192.168.142.69,dsalazar@example.com,2025-10-10T18:08:12.929411,active,no
ACC0140,+1-421-602-0275x88425,DEVN01399,192.168.15.7,lindsay48@example.org,2025-01-01T13:33:14.881985,closed,no
ACC0141,001-417-778-5079,DEVN01403,10.52.175.243,perezwilliam@example.org,2026-02-22T13:58:31.271700,active,no
ACC0142,8305756220,DEVN01419,172.26.60.232,margaret95@example.org,2025-06-17T22:17:16.206004,active,no
ACC0143,6237806174,DEVN01429,10.4.20.137,james94@example.net,2025-09-10T09:39:15.844995,active,no
ACC0144,759.273.8320x603,DEVN01430,172.28.10.113,dalton83@example.com,2025-06-10T22:05:06.471882,frozen,no
ACC0145,9243103865,DEVN01449,192.168.68.91,kjones@example.org,2025-05-01T23:42:44.487748,frozen,no
ACC0146,(634)545-6557,DEVN01451,10.69.176.115,moorefrank@example.com,2025-02-06T07:45:33.246877,closed,no
ACC0147,385-437-4741,DEVN01466,192.168.20.166,marymurphy@example.org,2025-11-11T07:26:39.448283,closed,no
ACC0148,(568)304-4206x788,DEVN01479,172.20.121.47,smithmaria@example.org,2024-10-01T00:00:57.566660,active,no
ACC0149,(751)399-4101x3721,DEVN01489,10.25.237.47,sandrahamilton@example.net,2025-04-03T23:58:40.663662,active,no
ACC0150,9664253244,DEVN01498,10.125.215.128,victor87@example.org,2024-08-31T21:43:19.408049,active,no
ACC0151,(726)738-3806x5787,DEVN01505,192.168.214.203,carla04@example.org,2026-01-18T13:23:06.878489,active,no
ACC0152,885.793.2133x4803,DEVN01514,10.162.209.119,robin05@example.net,2025-07-31T00:35:20.320647,frozen,no
ACC0153,001-237-584-2701,DEVN01523,10.81.190.221,riverachristina@example.org,2025-02-25T00:45:06.997254,active,no
ACC0154,(750)302-9218,DEVN01535,172.28.168.184,rogersmarcus@example.org,2025-11-26T03:30:50.497682,active,no
ACC0155,(475)228-9539x26442,DEVN01543,192.168.200.127,whitelucas@example.net,2024-12-03T03:02:24.746430,frozen,no
ACC0156,001-417-325-1355,DEVN01554,192.168.171.231,nsmith@example.org,2025-10-29T17:21:29.095910,closed,no
ACC0157,(741)800-6762x676,DEVN01566,10.115.127.148,shannonlloyd@example.org,2025-01-23T22:27:52.921263,active,no
ACC0158,941-215-2621x81599,DEVN01572,172.21.71.168,gmoore@example.com,2024-11-22T09:14:52.831901,active,no
ACC0159,268.884.4431,DEVFAM007,192.168.251.93,briansmith@example.org,2025-01-23T16:25:50.673477,closed,no
ACC0160,+1-997-931-0324x17146,DEVFAM010,10.13.150.31,nathanjames@example.org,2025-05-09T13:01:28.377649,active,no
ACC0161,877-543-4902x115,DEVN01604,192.168.198.50,rsheppard@example.com,2025-08-06T09:36:00.297376,active,no
ACC0162,474.316.0898,DEVN01617,172.21.89.105,lindseymartinez@example.com,2024-08-25T08:35:28.218996,frozen,no
ACC0163,+1-663-929-4511x68685,DEVFAM012,10.214.213.0,perryeddie@example.net,2025-08-13T08:58:30.214360,closed,no
ACC0164,819-914-8564,DEVN01635,192.168.19.46,joshuathomas@example.net,2025-10-21T01:39:21.967139,closed,no
ACC0165,(606)953-0745x0544,DEVN01641,192.168.116.182,kevinmanning@example.com,2025-01-06T02:15:20.451410,active,no
ACC0166,(691)837-3678x50821,DEVN01650,10.14.210.75,jameswhitaker@example.org,2024-12-23T03:26:11.004892,active,no
ACC0167,705.934.5786x103,DEVN01667,192.168.242.252,max41@example.com,2024-07-20T17:10:05.629017,closed,no
ACC0168,2292333346,DEVFAM007,172.21.138.220,walkercharlene@example.com,2025-11-12T10:02:24.720572,active,no
ACC0169,001-846-365-7437x489,DEVN01689,10.191.155.11,kenneth17@example.org,2025-02-21T21:33:55.387135,closed,no
ACC0170,754-444-3283x096,DEVN01699,192.168.254.167,jordan66@example.com,2025-11-29T05:05:57.150543,frozen,no
ACC0171,001-693-453-8758,DEVFAM005,192.168.92.189,connor24@example.net,2026-01-18T08:10:37.205737,active,no
ACC0172,001-925-313-5346x55494,DEVN01711,172.18.71.102,gpreston@example.org,2026-02-28T17:57:44.204149,frozen,no
ACC0173,(784)460-2235x6972,DEVN01721,10.90.136.181,cynthia07@example.com,2024-11-25T01:37:25.636905,active,no
ACC0174,001-229-227-1296x66676,DEVN01738,192.168.191.7,mcclainkatherine@example.net,2024-11-11T21:41:19.417196,active,no
ACC0175,+1-203-635-4216x89421,DEVN01743,172.26.207.139,ibarron@example.com,2026-05-29T19:08:01.560138,frozen,no
ACC0176,453.326.0332x3098,DEVN01758,172.17.50.20,qmcdowell@example.net,2025-09-10T16:39:51.331823,active,no
ACC0177,+1-901-400-1676x184,DEVN01764,10.4.195.144,robert18@example.com,2025-09-10T11:00:09.540903,closed,no
ACC0178,001-526-618-9141x173,DEVN01772,192.168.183.65,cphillips@example.net,2025-06-13T22:45:33.064502,active,no
ACC0179,975.430.0119,DEVN01785,10.38.108.184,conwaydawn@example.com,2026-05-24T13:35:15.492220,active,no
ACC0180,247-201-2045x5611,DEVN01791,10.87.77.98,michael79@example.com,2026-03-08T10:23:20.501799,frozen,no
ACC0181,855-921-6674,DEVN01803,172.21.86.64,andersonjessica@example.org,2024-09-12T02:22:48.635056,closed,no
ACC0182,001-279-472-9659,DEVN01815,192.168.44.131,ealexander@example.com,2025-10-02T23:33:21.445463,active,no
ACC0183,3898935889,DEVN01824,192.168.246.191,elizabeth62@example.net,2026-03-17T22:38:22.600986,active,no
ACC0184,+1-700-628-7721x753,DEVN01832,10.193.220.201,fmontoya@example.com,2025-05-08T10:22:23.248268,active,no
ACC0185,001-371-877-5170,DEVN01847,172.16.1.99,connersylvia@example.net,2025-01-30T17:14:44.506109,active,no
ACC0186,783.975.5037x58997,DEVN01858,10.113.136.214,petersonmaria@example.com,2025-07-19T21:12:06.380861,active,no
ACC0187,(310)827-2614x933,DEVFAM012,10.97.147.138,daniel60@example.net,2026-02-07T17:25:58.043181,active,no
ACC0188,001-217-879-8270,DEVFAM000,192.168.90.186,jessicaanderson@example.com,2025-10-04T18:21:59.137247,active,no
ACC0189,+1-458-466-9346x547,DEVN01884,172.25.144.178,jennifer83@example.org,2024-11-25T07:10:23.869533,closed,no
ACC0190,001-845-622-8851x587,DEVN01899,172.19.104.52,jamesbrian@example.org,2024-11-18T10:21:38.196170,active,no
ACC0191,001-524-842-0438x05719,DEVN01908,10.147.69.95,housepaul@example.net,2025-02-05T08:35:12.764508,closed,no
ACC0192,+1-500-543-9735,DEVN01910,172.18.98.12,sydneymoss@example.org,2025-03-22T12:55:48.772144,active,no
ACC0193,(748)242-2940x57202,DEVN01928,192.168.154.48,jtyler@example.com,2024-08-21T12:23:50.510573,active,no
ACC0194,001-858-332-8182x688,DEVFAM001,172.22.211.203,mark43@example.net,2025-07-07T20:22:53.206301,active,no
ACC0195,+1-201-757-3993,DEVFAM014,172.19.160.194,uscott@example.com,2024-07-18T19:03:22.533346,closed,no
ACC0196,258.387.7043x58112,DEVN01954,10.172.86.30,nhouston@example.net,2026-02-01T14:58:39.621225,frozen,no
ACC0197,001-361-520-7501x1024,DEVN01961,172.30.111.159,bhamilton@example.com,2025-10-15T19:25:07.331180,closed,no
ACC0198,+1-309-619-0158,DEVN01972,192.168.44.74,kathy76@example.com,2026-01-27T23:39:20.947220,active,no
ACC0199,4726832684,DEVN01984,192.168.191.10,spencerangela@example.org,2024-07-30T17:47:19.535500,frozen,no
ACC0200,001-596-888-1435,DEVN01991,192.168.72.239,jackjensen@example.com,2024-11-14T12:40:49.504146,frozen,no
ACC0201,+1-386-338-7829x45651,DEVR1SHARED,10.66.113.197,morganharris@example.com,2024-11-12T15:09:34.401151,active,ring_1
ACC0202,+1-386-338-7829x45651,DEVR1SHARED,10.198.246.108,sfox@example.net,2024-12-27T15:46:02.314599,active,ring_1
ACC0203,+1-386-338-7829x45651,DEVR1SHARED,172.18.68.153,conradjason@example.com,2026-04-12T09:10:56.951632,active,ring_1
ACC0204,+1-386-338-7829x45651,DEVR1SHARED,10.31.20.24,angela65@example.net,2024-08-11T07:26:25.478565,active,ring_1
ACC0205,+1-386-338-7829x45651,DEVR1SHARED,192.168.20.208,davenportchristian@example.org,2026-05-04T21:51:26.364037,active,ring_1
ACC0206,+1-386-338-7829x45651,DEVR1SHARED,10.118.71.253,hlopez@example.net,2024-12-22T15:13:07.997187,frozen,ring_1
ACC0207,+1-828-786-1957x6122,DEVV85067,192.168.226.210,rachel85@example.com,2025-04-16T03:22:02.280290,active,no
ACC0208,+1-965-893-9836x8457,DEVV88204,10.145.167.165,holmesvictoria@example.com,2024-07-06T02:21:22.776268,active,no
ACC0209,435.304.8889,DEVV61653,10.79.237.69,josephpreston@example.org,2024-12-11T14:18:06.104560,active,no
ACC0210,619-269-3157x2791,DEVV80405,192.168.195.90,deleonsandra@example.com,2025-03-02T01:13:38.916513,active,no
ACC0211,(461)739-0604x80589,DEVC81765,192.168.78.111,nunezwendy@example.com,2025-12-10T11:42:55.478077,active,no
ACC0212,001-781-336-4622,DEVC21157,172.17.147.244,zbaker@example.net,2025-05-01T15:27:02.401936,active,no
ACC0213,001-522-578-3769x389,DEVR2SHARED,10.220.49.147,gail91@example.org,2025-10-14T17:21:32.032640,active,ring_2
ACC0214,(455)935-5904x25979,DEVR2SHARED,10.119.139.242,ginamoore@example.net,2026-02-18T10:26:15.500438,active,ring_2
ACC0215,603-992-4051,DEVR2SHARED,172.22.176.52,jamesmills@example.com,2025-07-20T15:50:27.314978,active,ring_2
ACC0216,+1-620-269-8042x043,DEVR2SHARED,172.16.68.70,pricejoseph@example.net,2025-03-10T15:40:53.727506,active,ring_2
ACC0217,904-363-6815,DEVR2SHARED,10.234.125.44,williamssandra@example.com,2025-02-19T23:58:11.502469,active,ring_2
ACC0218,(220)655-5438x4046,DEVR2SHARED,10.201.35.48,christopherreyes@example.net,2025-09-03T05:07:58.829814,active,ring_2
ACC0219,+1-536-439-2649x5782,DEVR2S96858,192.168.103.149,kylethornton@example.net,2026-03-30T04:39:13.027732,active,no
ACC0220,(829)825-1881x25205,DEVR2S41310,172.24.194.240,kimberlyrodriguez@example.org,2024-07-19T20:07:48.434102,active,no
ACC0221,+1-394-999-9393x305,DEVR2S90482,10.240.1.196,jack67@example.com,2024-10-05T18:12:49.447221,active,no
ACC0222,530.360.4633,DEVR2D99674,10.224.233.253,dwatts@example.org,2025-04-26T18:56:07.725467,active,no
ACC0223,001-909-965-6999x88081,DEVR2D31737,10.125.207.58,cterrell@example.net,2025-03-29T16:17:02.083826,active,no
ACC0224,001-403-947-6447x26490,DEVR3U10157,192.168.57.241,kimberlypace@example.net,2025-07-18T23:38:21.682980,active,ring_3
ACC0225,(465)370-2793x7145,DEVR3U98940,10.230.23.140,christopher68@example.net,2026-04-27T07:51:55.215352,active,ring_3
